PCA,iGroups,jGroup,P-value,BH adjusted p-value
PC1,CNP,SP,6.03709082765785E-05,0.0084542966454378
PC1,LR,SP,8.05171109089315E-05,0.0084542966454378
PC1,CRP,SP,0.000305290956908215,0.0213703669835751
PC1,CNP,LR,0.000613969556882854,0.0322334017363498
PC2,SP,SNP,0.00171611038926119,0.0720766363489698
PC1,CRP,SNP,0.0100090119952358,0.226181123317536
PC1,LR,SNP,0.00978348273804534,0.226181123317536
PC2,CRP,SNP,0.00906186149082163,0.226181123317536
PC2,LR,SNP,0.0107705296817874,0.226181123317536
PC6,CRP,LR,0.00781304048035076,0.226181123317536
PC6,CRP,SNP,0.0165014494618755,0.315027671544895
PC1,CRP,LR,0.0260161644069439,0.390242466104158
PC1,CNP,SNP,0.0250705500372359,0.390242466104158
PC2,LR,SP,0.0252602076823011,0.390242466104158
PC15,CRP,LR,0.0319786866889198,0.447701613644878
PC2,CRP,SP,0.0344002710578378,0.451503557634121
PC2,CNP,SP,0.0418045889588746,0.51640962831551
PC4,CNP,LR,0.0621162699761857,0.724689816388833
PC1,SP,SNP,0.0732513931427595,0.745834249390694
PC2,CNP,SNP,0.0745834249390694,0.745834249390694
PC3,CNP,SNP,0.0710203174107538,0.745834249390694
PC3,CRP,CNP,0.0868625389182356,0.760047215534561
PC4,CRP,CNP,0.0805257424367056,0.760047215534561
PC15,LR,SP,0.0865300163557248,0.760047215534561
PC4,CNP,SP,0.109400150056041,0.788783781328958
PC5,CRP,LR,0.0964874365138296,0.788783781328958
PC6,CRP,CNP,0.109038940547217,0.788783781328958
PC6,CRP,SP,0.112683397332708,0.788783781328958
PC6,CNP,LR,0.102840296311693,0.788783781328958
PC15,CNP,LR,0.0978414005284323,0.788783781328958
PC15,CRP,CNP,0.129568368553286,0.850292418630937
PC15,LR,SNP,0.129007646195021,0.850292418630937
PC1,CRP,CRP,1,1
PC1,CRP,CNP,0.21053551987917,1
PC1,CNP,CNP,1,1
PC1,LR,LR,1,1
PC1,SP,SP,1,1
PC2,CRP,CRP,1,1
PC2,CRP,CNP,0.330084773615235,1
PC2,CRP,LR,0.57063900240985,1
PC2,CNP,CNP,1,1
PC2,CNP,LR,0.211416836185548,1
PC2,LR,LR,1,1
PC2,SP,SP,1,1
PC3,CRP,CRP,1,1
PC3,CRP,LR,0.382585300640557,1
PC3,CRP,SP,0.199367094948753,1
PC3,CRP,SNP,0.668964478138208,1
PC3,CNP,CNP,1,1
PC3,CNP,LR,0.157462660798172,1
PC3,CNP,SP,0.308000593522334,1
PC3,LR,LR,1,1
PC3,LR,SP,0.49050869001328,1
PC3,LR,SNP,0.326912669780129,1
PC3,SP,SP,1,1
PC3,SP,SNP,0.18516257271419,1
PC4,CRP,CRP,1,1
PC4,CRP,LR,0.241242064354719,1
PC4,CRP,SP,0.660308490495906,1
PC4,CRP,SNP,0.722727774679521,1
PC4,CNP,CNP,1,1
PC4,CNP,SNP,0.359092131613067,1
PC4,LR,LR,1,1
PC4,LR,SP,0.245395623516182,1
PC4,LR,SNP,0.506052890201585,1
PC4,SP,SP,1,1
PC4,SP,SNP,0.865862400865021,1
PC5,CRP,CRP,1,1
PC5,CRP,CNP,0.57894666608947,1
PC5,CRP,SP,0.451099603484301,1
PC5,CRP,SNP,0.23087713748357,1
PC5,CNP,CNP,1,1
PC5,CNP,LR,0.414133481300539,1
PC5,CNP,SP,0.740458434969682,1
PC5,CNP,SNP,0.667923709945403,1
PC5,LR,LR,1,1
PC5,LR,SP,0.796983146511738,1
PC5,LR,SNP,0.551518752809576,1
PC5,SP,SP,1,1
PC5,SP,SNP,0.971779599972049,1
PC6,CRP,CRP,1,1
PC6,CNP,CNP,1,1
PC6,CNP,SP,0.769802686954464,1
PC6,CNP,SNP,0.39108118668604,1
PC6,LR,LR,1,1
PC6,LR,SP,0.215610526659093,1
PC6,LR,SNP,0.177392808107021,1
PC6,SP,SP,1,1
PC6,SP,SNP,0.675925003574281,1
PC7,CRP,CRP,1,1
PC7,CRP,CNP,0.951843312412775,1
PC7,CRP,LR,0.587413271917087,1
PC7,CRP,SP,0.736387044021189,1
PC7,CRP,SNP,0.864297030734139,1
PC7,CNP,CNP,1,1
PC7,CNP,LR,0.621187327871627,1
PC7,CNP,SP,0.719749231125053,1
PC7,CNP,SNP,0.83630044846505,1
PC7,LR,LR,1,1
PC7,LR,SP,0.989939617514563,1
