GC-MS metabolite tissue pairwise t-test,,,,
Metabolite,iGroups,jGroup,P-value,BH adjusted p-value
Kavain,LR,SP,0.000187899842327238,0.00554304534865353
Pipermethystine,LR,SP,0.000160464098347603,0.00554304534865353
Tetrahydro-11-methoxyiangonin,CRP,SNP,3.76402754758502E-05,0.00554304534865353
Tetrahydro-11-methoxyiangonin,CNP,SNP,3.94586220563457E-05,0.00554304534865353
Tetrahydro-11-methoxyiangonin,LR,SNP,9.04617265584245E-05,0.00554304534865353
Flavokavain C,LR,SNP,0.000178247481842129,0.00554304534865353
Pinostrobin,LR,SNP,0.000178247481842129,0.00554304534865353
"5,7-Dimethoxyflavanone",CNP,SNP,0.000137960565200219,0.00554304534865353
"5,7-Dimethoxyflavanone",LR,SNP,7.2199938623499E-05,0.00554304534865353
Flavokavain B,CRP,SNP,0.000172783789526973,0.00554304534865353
Flavokavain B,CNP,SNP,0.000178005430312142,0.00554304534865353
Flavokavain B,LR,SNP,9.32025337564652E-05,0.00554304534865353
"5,7-Dimethoxyflavanone",CRP,SNP,0.000225578027793932,0.00614266321838862
Kavain,CNP,SNP,0.000330851688691585,0.00650674987760117
Pipermethystine,CNP,SP,0.000318066254166469,0.00650674987760117
Tetrahydro-11-methoxyiangonin,CRP,SP,0.000328869592259434,0.00650674987760117
Flavokavain C,LR,SP,0.000309834905376802,0.00650674987760117
Pinostrobin,LR,SP,0.000309834905376802,0.00650674987760117
Kavain,CRP,SP,0.000458371982558295,0.00661375110184671
Kavain,CRP,SNP,0.000408492568261569,0.00661375110184671
Kavain,LR,SNP,0.000476605435467912,0.00661375110184671
Dihydromethysticin,CNP,SNP,0.000414505964897166,0.00661375110184671
"Dihydro-5,6-dehydrokawain",LR,SNP,0.000520153934884511,0.00661375110184671
Bornyl cinnamate,LR,SNP,0.000491707458998231,0.00661375110184671
Pipermethystine,CRP,SP,0.000393946745296099,0.00661375110184671
Desmethoxyyangonin,LR,SNP,0.000437797945240698,0.00661375110184671
Flavokavain C,CRP,SNP,0.000523121556078271,0.00661375110184671
Pinostrobin,CRP,SNP,0.000523121556078271,0.00661375110184671
Dihydromethysticin,LR,SNP,0.00060961687799359,0.00717158653063783
Tetrahydro-11-methoxyiangonin,CNP,SP,0.00059370835749254,0.00717158653063783
Flavokavain C,CRP,SP,0.000648279008419238,0.00717158653063783
Pinostrobin,CRP,SP,0.000648279008419238,0.00717158653063783
Hedycaryol,LR,SNP,0.000687861838453222,0.00721430541552631
Kavain,CNP,SP,0.000692899390191792,0.00721430541552631
Hedycaryol,CRP,SNP,0.00106024375715717,0.00993787496696553
Dihydromethysticin,CRP,SNP,0.00112292372508085,0.00993787496696553
Bornyl cinnamate,LR,SP,0.00111136537137895,0.00993787496696553
Tetrahydro-11-methoxyiangonin,LR,SP,0.00104688668167677,0.00993787496696553
Desmethoxyyangonin,CNP,SNP,0.00111639048157714,0.00993787496696553
Desmethoxyyangonin,LR,SP,0.00100829712672909,0.00993787496696553
Hedycaryol,LR,SP,0.00124797791811586,0.0105681814040055
"Dihydro-5,6-dehydrokawain",CRP,SNP,0.00132674477630623,0.0105681814040055
"Dihydro-5,6-dehydrokawain",CNP,SNP,0.0014305331791227,0.0105681814040055
Dihydrokavain,CNP,SNP,0.00141086268935314,0.0105681814040055
Bornyl cinnamate,CNP,SNP,0.00143297374969565,0.0105681814040055
Pipermethystine,SP,SNP,0.00126730599623729,0.0105681814040055
Desmethoxyyangonin,CRP,SNP,0.00135115745592512,0.0105681814040055
"5-Hydroxy-4',7-dimethoxyflavanone",LR,SNP,0.00132715102964237,0.0105681814040055
Hedycaryol,CRP,SP,0.00151271722590447,0.0109286101626568
Palmitic Acid,CNP,SNP,0.00177064610507249,0.0124982409648999
Hispidin,LR,SNP,0.00180059403731609,0.0124982409648999
Dihydroalatamide,CRP,SP,0.00209556152256436,0.0137375699812553
Flavokavain C,CNP,SNP,0.00209398719566974,0.0137375699812553
Pinostrobin,CNP,SNP,0.00209398719566974,0.0137375699812553
"5,7-Dimethoxyflavanone",LR,SP,0.00214813413330124,0.0138261724216116
Dihydroalatamide,LR,SP,0.00220473597178541,0.0139370809645006
Desmethoxyyangonin,CRP,SP,0.00233436910659481,0.0140062146395689
Flavokavain C#,CNP,LR,0.00231554536675318,0.0140062146395689
Pinostrobin#,CNP,LR,0.00231554536675318,0.0140062146395689
13-Tetradece-11-yn-1-ol,CNP,SNP,0.00257603774114123,0.0149745477902138
"5-Hydroxy-4',7-dimethoxyflavanone",CRP,SNP,0.00258035992995209,0.0149745477902138
Hedycaryol#,CNP,LR,0.00268924285519919,0.0153547092054922
"Dihydro-5,6-dehydrokawain",LR,SP,0.00286642411117244,0.0155454509006686
Bornyl cinnamate,CRP,SP,0.00296349278952589,0.0155454509006686
Bornyl cinnamate#,CNP,LR,0.00307395921764632,0.0155454509006686
"Pyrrolidine, 1-(m-methoxycinnamoyl)-",CRP,SNP,0.00306644258544092,0.0155454509006686
"Pyrrolidine, 1-(m-methoxycinnamoyl)-",CNP,SNP,0.00296146966424521,0.0155454509006686
Flavokavain C,CNP,SP,0.00305836727100927,0.0155454509006686
Pinostrobin,CNP,SP,0.00305836727100927,0.0155454509006686
Flavokavain B,LR,SP,0.00282985342756548,0.0155454509006686
